Hatcheries ,Assay Type,Larval Species Tested,Water Type,Filtered/Unfiltered ,Treatment,Sample_ID,Replicate,Alive,Dead,% Mortality,Mortality,Control Average Mort,Control Average Mort  Percent,Percent Viability + Control Mortality,,Date of Assay,Note,,,,,,,,,,,,,,,,,,,Incoming Water 0.22um filter,Incoming Water 10um filter,Incoming Water Unfiltered,Tank Water 0.22um filter,Tank Water Unfiltered,Shed Water 0.22um filter,Shed Water 10um filter,Shed Water Unfiltered,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,B47-R1 Acute Incoming Water Unfiltered,1,21,0,0%,0,0,0%,100,,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,B47-R1 Acute Incoming Water Unfiltered,2,34,0,0%,0,0,0%,100,,2024-07-12,,,AVERAGE of % Mortality,Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,B47-R1 Acute Incoming Water Unfiltered,3,17,2,11%,11,0,0%,89,,2024-07-12,,,Hatcheries ,Incoming Water 0.22um filter,Incoming Water 10um filter,Incoming Water Unfiltered,Shed Water 0.22um filter,Shed Water 10um filter,Shed Water Unfiltered,Tank Water 0.22um filter,Tank Water 100 kDa filter,Tank Water 10um filter,Tank Water Unfiltered,,,,,,,,,,,,,,,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,B47-R1 Acute Incoming Water 0.22um filter,1,35,0,0%,0,0,0%,100,,2024-07-12,,,2UJ-R1,,,,,,,21%,67%,22%,21%,,,,,,AVERAGE of % Mortality,Treatment,,,,,,,,,,,,,,,
B47-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,B47-R1 Acute Incoming Water 0.22um filter,2,56,0,0%,0,0,0%,100,,2024-07-12,,,AGX-R2,1%,2%,2%,2%,2%,0%,4%,,3%,2%,,,,,Species,Hatcheries ,Incoming Water 0.22um filter,Incoming Water 10um filter,Incoming Water Unfiltered,Tank Water 0.22um filter,Tank Water Unfiltered,Shed Water 0.22um filter,Shed Water 10um filter,Shed Water Unfiltered,Tank Water 100 kDa filter,Tank Water 10um filter,Hatcheries ,Location,infectious vs non infectious,infectious agent introduced,Cause,Cause with infectious incorporated
B47-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,Incoming Water 0.22um filter,B47-R1 Acute Incoming Water 0.22um filter,3,43,0,0%,0,0,0%,100,,2024-07-12,,,B47-R1,0%,,4%,,,,16%,,,3%,,Public/Research Hatchery,CT,0,Mercenaria mercenaria,2UJ-R1,,,,21%,21%,,,,67%,22%,2UJ-R1,Tank,Not tested,,Virus/Toxin,Virus/Toxin
RRD-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R2 Acute Tank Water Unfiltered,1,27,6,18%,18,0,0%,82,,2024-07-12,`,,CP8-R1,,,,2%,,5%,4%,,,0%,,Commercial Hatchery,VA,1,Crassostrea virginica,AGX-R2,1%,2%,2%,4%,2%,2%,2%,0%,,3%,AGX-R2,Neither,Non infectious ,,Non Microbial,Non Microbial
RRD-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R2 Acute Tank Water Unfiltered,2,32,7,18%,18,0,0%,82,,2024-07-12,,,FNT-R1,6%,5%,5%,4%,3%,2%,6%,,2%,5%,,Commercial Hatchery,VA,0,Crassostrea virginica,B47-R1,0%,,4%,16%,3%,,,,,,B47-R1,Neither,Not tested,,Non Microbial,Non Microbial
RRD-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,Tank Water Unfiltered,RRD-R2 Acute Tank Water Unfiltered,3,25,9,26%,26,0,0%,74,,2024-07-12,,,FYC-E1,,,,41%,,22%,,,,,,Commercial Hatchery,CT,1,Crassostrea virginica,CP8-R1,,,,4%,0%,2%,,5%,,,CP8-R1,Neither,Non infectious ,,Non Microbial,Non Microbial
RRD-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R2 Acute Tank Water 0.22um filter,1,20,9,31%,31,0,0%,69,,2024-07-12,,,FYC-E2,85%,,36%,27%,,18%,41%,,,63%,,Commercial Hatchery,NY,0,Crassostrea virginica,FNT-R1,6%,5%,5%,6%,5%,4%,3%,2%,,2%,FNT-R1,Neither,Non infectious ,,Non Microbial,Non Microbial
RRD-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,Tank Water 0.22um filter,RRD-R2 Acute Tank Water 0.22um filter,2,19,12,39%,39,0,0%,61,,2024-07-12,,,H3N-R1,6%,,2%,7%,,4%,4%,,,4%,,Commercial Hatchery,NY,0,Crassostrea virginica,FYC-E1,,,,,,41%,,22%,,,FYC-E1,Incoming,Infectious,Not tested,Virus/Toxin/Pollutant,Viral
RRD-R2,Acute,Crassostrea virginica,Tank Water ,0.22um filter,Tank Water 0.22um filter,RRD-R2 Acute Tank Water 0.22um filter,3,28,10,26%,26,0,0%,74,,2024-07-12,,,LGG-R1,2%,1%,0%,,,,2%,,1%,1%,,Commercial Hatchery,NY,0,Crassostrea virginica,FYC-E2,85%,,36%,41%,63%,27%,,18%,,,FYC-E2,Both,Infectious,Both,Virus/Toxin/Pollutant,Viral
RRD-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R2 Acute Incoming Water Unfiltered,1,28,24,46%,46,0,0%,54,,2024-07-12,,,LGG-R2,,,,1%,2%,2%,1%,,1%,2%,,Commercial Hatchery,MD,0,Crassostrea virginica,H3N-R1,6%,,2%,4%,4%,7%,,4%,,,H3N-R1,Neither,Non infectious ,,Non Microbial,Non Microbial
RRD-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R2 Acute Incoming Water Unfiltered,2,18,14,44%,44,0,0%,56,,2024-07-12,,,LGG-R3,2%,1%,0%,0%,3%,2%,1%,,2%,1%,,Commercial Hatchery,RI,1,Crassostrea virginica,LGG-R1,2%,1%,0%,2%,1%,,,,,1%,LGG-R1,Neither,Not tested,,Non Microbial,Non Microbial
RRD-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,Incoming Water Unfiltered,RRD-R2 Acute Incoming Water Unfiltered,3,22,13,37%,37,0,0%,63,,2024-07-12,,,RGX-R1,,,,0%,1%,0%,,,,,,Commercial Hatchery,RI,1,Crassostrea virginica,LGG-R2,,,,1%,2%,1%,2%,2%,,1%,LGG-R2,Neither,Non infectious ,,Non Microbial,Non Microbial
