hatchery,assay_type,species,water_type,filter_type,avg_mortality,issue_detected
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,0.22um filter,20.7,True
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,100 kDa filter,67.0,True
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,10um filter,21.7,True
2UJ-R1,Acute,Mercenaria mercenaria,Tank Water,Unfiltered,20.3,True
AGX-R2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,1.0,False
AGX-R2,Acute,Crassostrea virginica,Incoming Water,10um filter,2.3,False
AGX-R2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,2.0,False
AGX-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,2.3,False
AGX-R2,Acute,Crassostrea virginica,Shed Water,10um filter,2.0,False
AGX-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,0.0,False
AGX-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,4.0,False
AGX-R2,Acute,Crassostrea virginica,Tank Water,10um filter,3.3,False
AGX-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,1.7,False
AGX-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,90.4,True
AGX-R4,Chronic,Crassostrea virginica,Shed Water,Unfiltered,74.2,True
AGX-R5,Chronic,Crassostrea virginica,Shed Water,Unfiltered,56.2,True
AGX-R6,Chronic,Crassostrea virginica,Shed Water,Unfiltered,26.6,True
B47-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,0.0,False
B47-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,3.7,False
B47-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,15.3,True
B47-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,2.7,False
CP8-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,1.7,False
CP8-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,5.7,False
CP8-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,4.3,False
CP8-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,0.0,False
FNT-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,5.7,False
FNT-R1,Acute,Crassostrea virginica,Incoming Water,10um filter,5.0,False
FNT-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,4.7,False
FNT-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,3.7,False
FNT-R1,Acute,Crassostrea virginica,Shed Water,10um filter,3.7,False
FNT-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,2.3,False
FNT-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,6.7,False
FNT-R1,Acute,Crassostrea virginica,Tank Water,10um filter,2.3,False
FNT-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,5.3,False
FNT-R3,Chronic,Crassostrea virginica,Shed Water,Unfiltered,7.7,False
FYC-E1,Acute,Crassostrea virginica,Shed Water,0.22um filter,41.0,True
FYC-E1,Acute,Crassostrea virginica,Shed Water,Unfiltered,22.0,True
FYC-E2,Acute,Crassostrea virginica,Incoming Water,0.22um filter,85.0,True
FYC-E2,Acute,Crassostrea virginica,Incoming Water,Unfiltered,36.3,True
FYC-E2,Acute,Crassostrea virginica,Shed Water,0.22um filter,27.0,True
FYC-E2,Acute,Crassostrea virginica,Shed Water,Unfiltered,18.3,True
FYC-E2,Acute,Crassostrea virginica,Tank Water,0.22um filter,41.3,True
FYC-E2,Acute,Crassostrea virginica,Tank Water,Unfiltered,62.7,True
FYC-R2,Chronic,Crassostrea virginica,Shed Water,Unfiltered,39.3,True
H3N-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,6.3,False
H3N-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,2.3,False
H3N-R1,Acute,Crassostrea virginica,Shed Water,0.22um filter,6.7,False
H3N-R1,Acute,Crassostrea virginica,Shed Water,Unfiltered,4.2,False
H3N-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,4.2,False
H3N-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,3.7,False
LGG-R1,Acute,Crassostrea virginica,Incoming Water,0.22um filter,1.7,False
LGG-R1,Acute,Crassostrea virginica,Incoming Water,10um filter,1.3,False
LGG-R1,Acute,Crassostrea virginica,Incoming Water,Unfiltered,0.3,False
LGG-R1,Acute,Crassostrea virginica,Tank Water,0.22um filter,2.3,False
LGG-R1,Acute,Crassostrea virginica,Tank Water,10um filter,1.3,False
LGG-R1,Acute,Crassostrea virginica,Tank Water,Unfiltered,0.7,False
LGG-R2,Acute,Crassostrea virginica,Shed Water,0.22um filter,1.0,False
LGG-R2,Acute,Crassostrea virginica,Shed Water,10um filter,1.7,False
LGG-R2,Acute,Crassostrea virginica,Shed Water,Unfiltered,1.7,False
LGG-R2,Acute,Crassostrea virginica,Tank Water,0.22um filter,1.0,False
LGG-R2,Acute,Crassostrea virginica,Tank Water,10um filter,1.3,False
LGG-R2,Acute,Crassostrea virginica,Tank Water,Unfiltered,1.7,False
LGG-R3,Acute,Crassostrea virginica,Incoming Water,0.22um filter,1.7,False
LGG-R3,Acute,Crassostrea virginica,Incoming Water,10um filter,0.7,False
LGG-R3,Acute,Crassostrea virginica,Incoming Water,Unfiltered,0.0,False
LGG-R3,Acute,Crassostrea virginica,Shed Water,0.22um filter,0.0,False
LGG-R3,Acute,Crassostrea virginica,Shed Water,10um filter,3.3,False
